Acc0,Acc1,Acc2,LinearAcc0,LinearAcc1,LinearAcc2,Gravity0,Gravity1,Gravity2,Gyro0,Gyro1,Gyro2,MagnetData0,MagnetData1,MagnetData2,Timestamp,dt
1.608901978,-9.974243164,0.1197052,-1.593839407,-0.73671627,-1.425869107,3.173055887,-9.151906013,1.531248689,0.329208374,-0.918426514,-0.56993103,-27.14691162,32.40966797,-1.560974121,22:12:20:976,0.019989014
1.783676147,-9.485824585,0.22744751,-1.664622307,-0.33549881,-1.288691878,3.417389631,-9.068306923,1.50254941,0.207763672,-0.812957764,-0.564605713,-28.09448242,32.44018555,-3.744506836,22:12:20:997,0.020019531
1.625656128,-9.308654785,0.19392395,-1.93090868,-0.197920799,-1.286979079,3.525949478,-9.032307625,1.468155265,0.092712402,-0.652099609,-0.539047241,-29.1229248,31.57653809,-2.244567871,22:12:21:018,0.019989014
1.458068848,-9.674972534,0.313644409,-2.238475561,-0.609429359,-1.058623433,3.666899681,-8.992841721,1.361262918,-0.124603271,-0.459289551,-0.29296875,-29.21142578,30.55725098,-2.682495117,22:12:21:059,0.020019531
1.438919067,-10.18733215,0.33039856,-2.283335924,-1.120436668,-0.962603569,3.692328691,-8.993998528,1.282606602,-0.260955811,-0.36555481,-0.151290894,-29.93774414,30.02319336,-1.177978516,22:12:21:078,0.019989014
1.333572388,-13.09628296,-0.653610229,-2.33168602,-3.954930305,-1.710814953,3.628733397,-9.050257683,1.046669483,-0.640182495,-0.151428223,0.22795105,-29.08782959,30.42297363,-1.300048828,22:12:21:117,0.020019531
1.323989868,-12.59111023,-0.62727356,-2.237888813,-3.377443314,-1.497081518,3.522454023,-9.111684799,0.860180438,-0.993850708,0.031799316,0.499588013,-28.75976563,32.62939453,-1.18560791,22:12:21:138,0.019989014
0.679946899,-9.138671875,-1.192306519,-2.49044776,0.240442276,-1.642823935,3.137106657,-9.280636787,0.445787102,-1.291061401,0.636871338,1.098266602,-28.72161865,33.06427002,-0.735473633,22:12:21:180,0.020019531
0.914581299,-9.255981445,-1.905792236,-1.998229265,0.209662437,-2.141509295,2.88345623,-9.370251656,0.233341679,-1.245254517,0.499450684,1.295349121,-25.88348389,34.43756104,0.738525391,22:12:21:201,0.019989014
1.357513428,-10.47224426,-1.898605347,-1.063833475,-0.86797142,-1.634944677,2.396505117,-9.505738258,-0.260955691,-1.23034668,-0.312286377,1.201599121,-25.88348389,34.43756104,0.738525391,22:12:21:240,0.020019532
1.539474487,-11.22401428,-1.711853027,-0.661447048,-1.570299149,-1.182596326,2.176746607,-9.547678947,-0.523443341,-1.249526978,-0.416687012,1.111053467,-26.50909424,35.0692749,2.220153809,22:12:21:260,0.019989013
2.099716187,-10.29267883,-0.976837158,0.313070416,-0.582408905,0.035186052,1.969848037,-9.575435638,-0.77531594,-1.243133545,0.364151001,1.105728149,-26.03607178,34.26055908,3.483581543,22:12:21:300,0.020019531
2.461242676,-9.414001465,-0.751785278,0.884406209,0.308683395,0.459359646,1.558205605,-9.607808113,-1.196834803,-1.180282593,0.833938599,1.199462891,-22.27020264,36.90948486,4.818725586,22:12:21:339,0.019989014
2.499542236,-8.185775757,-0.215484619,1.302407026,1.529373169,1.337227821,1.184529424,-9.612848282,-1.53636241,-1.008773804,1.034210205,1.112121582,-21.71783447,38.56811523,4.957580566,22:12:21:358,0.020019531
2.523483276,-8.015792847,0.19631958,1.488073349,1.683591843,1.898283124,0.874708116,-9.596670151,-1.819122791,-0.903305054,0.742324829,0.996002197,-20.80688477,38.10577393,5.928039551,22:12:21:400,0.019989014
3.229782104,-8.528152466,1.089355469,2.493772507,1.135344505,3.038790226,0.730131388,-9.586317062,-1.93386507,-0.68812561,0.232070923,0.866043091,-20.44830322,39.01824951,5.616760254,22:12:21:423,0.020019531
3.344696045,-8.379699707,0.629669189,2.926905632,1.523948669,2.908239126,0.45567745,-9.557137489,-2.150316715,-0.628479004,0.159622192,0.822372437,-20.5368042,39.57672119,6.973266602,22:12:21:460,0.019989014
3.880996704,-7.927200317,0.840362549,3.556634665,1.660344124,3.103111982,0.322728842,-9.53926754,-2.251355648,-0.598648071,0.055236816,0.803192139,-18.19915771,39.87884521,7.83996582,22:12:21:481,0.020019531
4.218582153,-7.876922607,0.988800049,4.095001221,1.616271973,3.636615038,0.113700576,-9.506623268,-2.404490709,-0.428207397,0.064819336,0.617828369,-18.6630249,39.24102783,7.984924316,22:12:21:520,0.020019531
4.070144653,-7.869735718,1.393432617,4.028957367,1.642081261,3.832310438,-0.008726289,-9.499890327,-2.433596134,-0.249237061,0.083999634,0.510238647,-18.17474365,40.16571045,8.901977539,22:12:21:561,0.019989013
